CouncilDistrictCode,Neighborhood,YearBuilt_20,YearBuilt_10,NumberofFloors,NumberOfPropertyUseTypes,PropertyGFATotal,OfficeRatio,OtherRatio,ParkingRatio,RecreationRatio,ResidenceRatio,RestaurantRatio,SchoolRatio,StoreRatio,WarehouseRatio,ENERGYSTARScore,ElectricityRatio,SteamUseRatio,SiteEUI,SiteEnergyUse,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUI_bins,GHGEmissionsIntensity_bins
7,DOWNTOWN,1900,1910,3,3,70586.0,0.054670897911767206,0.0,0.0,0.0,0.0,0.0,0.3994701498880798,0.0,0.5445697447085824,,0.69499158956912,0.0,30.60000038,2158629.0,45.43,0.64,"(1841154.25, 2502106.0]","(0.6, 0.835]"
7,DOWNTOWN,1960,1960,24,1,348630.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,0.7550739043285628,0.0,46.40000153,16163194.0,295.33,0.89,"(14453105.0, 48406556.0]","(0.835, 1.17]"
7,DOWNTOWN,1960,1970,5,3,169531.0,0.6096938023134412,0.0,0.0,0.0,0.0,0.0,0.0,0.38739817496505063,0.0029080227215081606,78.0,0.9999998951359986,0.0,56.29999924,9536161.0,66.48,0.4,"(8141155.5, 14453105.0]","(0.29, 0.42]"
7,DOWNTOWN,1920,1920,2,2,57428.0,0.0,0.09892386988925263,0.0,0.0,0.0,0.0,0.0,0.9010761301107474,0.0,,0.5731607985492584,0.0,21.70000076,1247362.0,33.26,0.58,"(1028277.313, 1377878.625]","(0.42, 0.6]"
7,DOWNTOWN,1900,1910,8,2,59400.0,0.5883333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.08405723905723905,0.0,14.0,0.9999998028381061,0.0,85.40000153,5071974.0,35.36,0.6,"(3518459.5, 5236178.25]","(0.42, 0.6]"
7,DOWNTOWN,1920,1920,2,3,52549.0,0.10388399398656492,0.0,0.0,0.44720165940360423,0.0,0.44720165940360423,0.0,0.0,0.0,,0.3082921985045317,0.0,286.3999939,15026196.0,584.31,11.12,"(14453105.0, 48406556.0]","(3.565, 16.99]"
7,DOWNTOWN,1920,1930,20,3,98634.0,0.0,0.0,0.10182087312691364,0.0,0.8474866678832856,0.050692458989800675,0.0,0.0,0.0,71.0,0.8861291200435416,0.0,54.59999847,4841347.5,59.19,0.6,"(3518459.5, 5236178.25]","(0.42, 0.6]"
7,DOWNTOWN,1980,1980,7,4,71150.0,0.0,0.0,0.0,0.0,0.5810260014054813,0.0,0.0,0.13498243148278286,0.0,98.0,0.606528156843593,0.0,93.09999847,5348309.0,134.38,1.89,"(5236178.25, 8141155.5]","(1.51, 2.17]"
7,DOWNTOWN,1900,1900,7,3,122810.0,0.0,0.0,0.0,0.21537334093314878,0.7194853839263904,0.0,0.0,0.06514127514046088,0.0,99.0,0.2394916758118797,0.0,44.0,5401277.5,227.18,1.85,"(5236178.25, 8141155.5]","(1.51, 2.17]"
7,LAKE UNION,1940,1950,5,2,113173.0,0.0,0.0,0.3759377236620042,0.0,0.6240622763379958,0.0,0.0,0.0,0.0,86.0,0.5572461366298387,0.0,74.80000305,5284343.5,144.79,1.28,"(5236178.25, 8141155.5]","(1.17, 1.51]"
7,LAKE UNION,2000,2000,7,1,150453.0,0.0,0.0,0.0,0.0,0.714821239855636,0.019939781858786466,0.0,0.0,0.0,84.0,0.5057355811535852,0.0,60.70000076,6715187.0,199.95,1.33,"(5236178.25, 8141155.5]","(1.17, 1.51]"
7,LAKE UNION,1980,1990,6,1,116690.0,0.0,0.0,0.24166595252378095,0.0,0.758334047476219,0.0,0.0,0.0,0.0,80.0,0.547130802060644,0.0,65.90000153,5827595.5,162.39,1.4,"(5236178.25, 8141155.5]","(1.17, 1.51]"
7,MAGNOLIA / QUEEN ANNE,1980,1990,6,1,155602.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,0.666813468092264,0.0,43.90000153,6836900.0,152.76,0.98,"(5236178.25, 8141155.5]","(0.835, 1.17]"
3,EAST,1900,1910,3,1,56072.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.0,0.17060377454440404,0.0,57.70000076,3234787.75,146.34,2.61,"(2502106.0, 3518459.5]","(2.17, 3.565]"
7,MAGNOLIA / QUEEN ANNE,1980,1990,4,2,122942.0,0.0,0.0,0.36513965935156417,0.0,0.6348603406484359,0.0,0.0,0.0,0.0,94.0,0.454108736683895,0.0,68.40000153,5337334.0,171.64,1.4,"(5236178.25, 8141155.5]","(1.17, 1.51]"
3,CENTRAL,1960,1960,2,1,54984.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.5861055797696796,0.0,61.40000153,3375211.0,87.98,1.6,"(2502106.0, 3518459.5]","(1.51, 2.17]"
7,LAKE UNION,2000,2000,6,2,84103.0,0.0,0.0,0.2465072589562798,0.0,0.7534927410437202,0.0,0.0,0.0,0.0,74.0,0.7589346780352204,0.0,58.5,3706100.25,67.06,0.8,"(3518459.5, 5236178.25]","(0.6, 0.835]"
3,EAST,1960,1960,3,1,179014.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.5919676331824546,0.0,93.30000305,16701055.0,430.84,2.41,"(14453105.0, 48406556.0]","(2.17, 3.565]"
3,EAST,1900,1900,7,1,76631.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71.0,0.3665560715375777,0.0,94.69999695,7258758.5,262.75,3.43,"(5236178.25, 8141155.5]","(2.17, 3.565]"
3,EAST,1980,1980,6,6,99780.0,0.5732010422930447,0.0,0.09361595510122268,0.0,0.0,0.0,0.0,0.0,0.0,,0.6556735142634803,0.3443263887941906,204.5,15473117.0,481.97,4.83,"(14453105.0, 48406556.0]","(3.565, 16.99]"
7,LAKE UNION,1920,1920,2,1,72072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96.0,0.34465679819299594,0.0,14.60000038,1049748.625,39.06,0.67,"(1028277.313, 1377878.625]","(0.6, 0.835]"
7,LAKE UNION,2000,2010,5,4,316306.0,0.8277617244061131,0.04786188058399145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.9329612870556107,0.0,48.0,13795954.0,138.85,0.44,"(8141155.5, 14453105.0]","(0.42, 0.6]"
3,LAKE UNION,1980,1990,7,2,282863.0,0.0,0.0,0.15826035925518714,0.0,0.8335766784627187,0.0,0.0,0.0,0.0,37.0,0.5642880135897974,0.0,82.5,19459304.0,526.85,1.86,"(14453105.0, 48406556.0]","(1.51, 2.17]"
7,MAGNOLIA / QUEEN ANNE,1960,1960,1,1,389000.0,0.0,0.9460154241645244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6094576866338013,0.25754071033837556,64.30000305,23658978.0,607.41,1.56,"(14453105.0, 48406556.0]","(1.51, 2.17]"
7,MAGNOLIA / QUEEN ANNE,1960,1960,1,1,91213.0,0.0,0.7126177189654983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4611280302900491,0.5060866359818333,125.1999969,8141155.5,344.2,3.77,"(5236178.25, 8141155.5]","(3.565, 16.99]"
7,MAGNOLIA / QUEEN ANNE,1920,1930,5,1,396085.0,0.0,0.7031319035055607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3460900024652797,0.46593547533656127,75.19999695,20955026.0,804.2,2.03,"(14453105.0, 48406556.0]","(1.51, 2.17]"
7,LAKE UNION,2000,2010,12,3,625004.0,0.9580754683170027,0.04192453168299723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.8131669462883903,0.0,63.40000153,39605888.0,617.52,1.08,"(14453105.0, 48406556.0]","(0.835, 1.17]"
7,MAGNOLIA / QUEEN ANNE,1960,1960,2,1,52000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.47438516209654674,0.44101880559821505,52.40000153,2726369.0,101.83,1.96,"(2502106.0, 3518459.5]","(1.51, 2.17]"
7,MAGNOLIA / QUEEN ANNE,1920,1920,1,1,108000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9999996432417537,0.0,8.100000381,875943.3125,6.11,0.1,"(671256.594, 1028277.313]","(0.009000000000000001, 0.19]"
7,MAGNOLIA / QUEEN ANNE,1920,1920,2,1,296000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6520544462914307,0.24789646873887722,70.0,20723248.0,490.73,1.87,"(14453105.0, 48406556.0]","(1.51, 2.17]"
7,MAGNOLIA / QUEEN ANNE,1980,1980,2,5,66240.0,0.6929347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14692028985507247,,0.9999996999740478,0.0,74.90000153,4166306.25,29.04,0.44,"(3518459.5, 5236178.25]","(0.42, 0.6]"
7,MAGNOLIA / QUEEN ANNE,2000,2010,6,3,1039291.0,0.7020016530500119,0.005773166514479583,0.29222518043550844,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.7526448273277769,0.0,49.79999924,36667044.0,674.09,0.73,"(14453105.0, 48406556.0]","(0.6, 0.835]"
7,MAGNOLIA / QUEEN ANNE,1960,1970,4,3,76882.0,0.631435186389532,0.031294711375874716,0.33727010223459325,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.8470978111953743,0.0,68.19999695,3476212.5,48.76,0.64,"(2502106.0, 3518459.5]","(0.6, 0.835]"
7,MAGNOLIA / QUEEN ANNE,2000,2000,6,2,96910.0,0.0,0.0,0.3811164998452172,0.0,0.6188835001547828,0.0,0.0,0.0,0.0,56.0,0.5114879183546878,0.0,86.0,5155568.5,152.14,1.57,"(3518459.5, 5236178.25]","(1.51, 2.17]"
4,NORTHEAST,1960,1960,4,2,50017.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,0.3905883216568254,0.0,108.9000015,5448975.0,191.2,3.82,"(5236178.25, 8141155.5]","(3.565, 16.99]"
3,EAST,1920,1920,3,1,67743.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.5054201570982277,0.0,39.09999847,2646879.0,78.85,1.16,"(2502106.0, 3518459.5]","(0.835, 1.17]"
3,EAST,1900,1900,6,1,194104.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.30352750950325663,0.0,32.0,6219841.5,243.23,1.25,"(5236178.25, 8141155.5]","(1.17, 1.51]"
3,SOUTHEAST,2000,2000,3,2,99433.0,0.6404413021833798,0.0,0.35955869781662025,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,0.0,76.90000153,4897760.0,34.14,0.34,"(3518459.5, 5236178.25]","(0.29, 0.42]"
4,NORTHEAST,1940,1940,4,1,56521.0,0.0,0.8669344137577184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9999998427087318,0.0,129.6999969,6357632.0,44.32,0.78,"(5236178.25, 8141155.5]","(0.6, 0.835]"
4,NORTHEAST,1920,1920,2,2,206934.0,0.0,0.5757681193037394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4704517550226838,0.0,35.70000076,4253577.5,133.58,0.65,"(3518459.5, 5236178.25]","(0.6, 0.835]"
5,NORTHWEST,2000,2000,4,2,51390.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,89.0,0.3871727225353852,0.0,70.30000305,3611538.0,127.29,2.48,"(3518459.5, 5236178.25]","(2.17, 3.565]"
5,NORTHWEST,1940,1950,1,1,245587.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,0.3336832493008055,0.0,47.90000153,11765682.0,443.73,1.81,"(8141155.5, 14453105.0]","(1.51, 2.17]"
5,NORTHWEST,2000,2000,3,1,70609.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.0,0.5560253980159496,0.0,45.90000153,3242458.0,89.02,1.29,"(2502106.0, 3518459.5]","(1.17, 1.51]"
7,DOWNTOWN,1900,1900,5,2,190980.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,98.0,0.6767466006352603,0.0,34.09999847,6505995.0,142.39,0.75,"(5236178.25, 8141155.5]","(0.6, 0.835]"
7,DOWNTOWN,1980,1990,6,1,284100.0,0.0,0.0,0.0,0.6678986272439282,0.0,0.0,0.0,0.0,0.0,,0.6695365680378966,0.2944462938296904,77.19999695,14641502.0,429.12,1.51,"(14453105.0, 48406556.0]","(1.17, 1.51]"
2,DOWNTOWN,2000,2000,4,2,71974.0,0.4059660432934115,0.5940339567065885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.741962245660592,0.0,130.1000061,9363374.0,176.75,2.89,"(8141155.5, 14453105.0]","(2.17, 3.565]"
2,DOWNTOWN,1900,1910,4,1,72820.0,0.0,0.0,0.0,0.7964844822850865,0.0,0.0,0.0,0.0,0.0,,0.6524240754749687,0.0,34.70000076,2010454.625,46.26,0.64,"(1841154.25, 2502106.0]","(0.6, 0.835]"
7,MAGNOLIA / QUEEN ANNE,1980,1990,4,2,162222.0,0.0,0.0,0.08753436648543354,0.0,0.700903699868082,0.0,0.0,0.0,0.0,76.0,0.5281845475270358,0.0,69.90000153,7946961.0,228.4,1.41,"(5236178.25, 8141155.5]","(1.17, 1.51]"
3,EAST,1900,1910,3,1,64820.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.6245801138521413,0.0,47.20000076,3059758.0,74.33,1.17,"(2502106.0, 3518459.5]","(0.835, 1.17]"
1,DELRIDGE,1960,1970,2,1,483000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.6609248654578236,0.0,79.30000305,38301744.0,866.23,1.96,"(14453105.0, 48406556.0]","(1.51, 2.17]"
